TeamName,AdjTempo,AdjOE,AdjDE,eFGPct,TOPct,ORPct,FTRate,eFGPctD,TOPctD,ORPctD,FTRateD
Illinois,66.0472,110.895,93.6652,50,20.27916433,29.17547569,35.72815534,53.81125227,16.21290516,28.57142857,26.01330913
Illinois Chicago,69.5031,96.3968,99.5393,48.30316742,17.88135646,35.57422969,32.239819,46.99034639,16.59350253,25.71959146,23.9068711
Illinois St.,68.4911,98.3913,102.945,50.80603224,22.45267456,27.72020725,29.38117525,46.08673978,17.67992488,28.17220544,36.59022931
Incarnate Word,66.094,90.2978,112.759,49.8810232,20.97412907,25.19230769,25.2230815,51.54119739,19.36822127,27.28174603,31.0017783
Indiana,67.867,108.476,92.7455,45.66878981,21.94387432,27.45490982,31.08280255,52.98366834,20.46048888,34.13830955,35.99246231
Indiana St.,66.4133,105.755,101.16,49.31506849,18.26887661,32.40574506,39.23287671,47.89939193,17.77022241,24.53333333,32.5594251
Iona,68.6742,101.581,106.143,51.68253968,16.94651741,23.61702128,32.25396825,50.60741688,19.07131012,25.68710359,33.50383632
Iowa,70.2155,117.283,98.6328,51.00882724,20.49068492,25.10869565,33.73266078,49.35294118,18.6549577,31.67128347,34.17647059
Iowa St.,69.8953,109.579,101.233,51.60599572,17.14579642,32.01438849,34.42184154,49.41952507,17.55729554,29.51965066,26.75461741
IUPUI,70.7957,99.386,115.568,49.84251969,18.7460278,29.24865832,28.50393701,51.79041601,20.64715798,31.55555556,28.0147446
Jackson St.,68.6709,92.7666,102.312,45.23809524,18.23607427,26.64783427,35.5981417,48.64353312,22.78325123,29.67942089,43.59621451
Jacksonville,66.6364,95.9757,102.498,47.98935541,20.28277445,29.36732767,30.10053223,46.57338664,16.03869026,26.5049416,28.72644203
Jacksonville St.,68.1314,95.8134,105.485,48.73635841,20.70236744,31.03122044,29.06375646,52.11640212,19.40546739,25.47452547,28.39506173
James Madison,72.1227,99.4754,111.587,48.24253076,17.23162822,25.76576577,37.19976567,52.7072758,15.88390311,26.04166667,29.27241963
Kansas,67.3427,115.772,85.5375,53.67081113,18.74547618,32.61977574,35.82001184,43.73937677,18.64733233,26.37554585,23.17280453
Kansas St.,67.1921,102.482,94.2295,47.50287026,21.245328,29.63294539,34.6727899,49.57472661,24.30021176,30.12633625,38.76063183
Kennesaw St.,68.2316,83.5172,112.228,39.2721519,21.60944844,25.8302583,32.46835443,55.26946108,18.47177677,31.15100317,30.41916168
Kent St.,68.8759,106.119,102.056,52.28285078,18.41115499,30.01930502,28.89755011,47.97835991,19.39998941,30.38674033,34.39635535
Kentucky,67.6714,112.665,95.0609,50.69645966,18.09320102,30.83247688,40.80092861,45.29961517,17.34516171,28.48588537,32.05057724
La Salle,69.1126,99.6153,100.422,51.38297872,18.950177,21.59789289,33.35106383,50.04916421,18.65605009,31.1774461,28.4660767
Lafayette,66.9047,100.587,105.496,52.7393617,17.6368837,35.07951356,35.42553191,49.43328181,16.64198257,28.51170569,26.37815559
Lamar,69.6066,96.3053,102.461,48.3701979,20.82853651,28.92335766,33.06169965,48.47305389,20.26177361,28.35101254,40.05988024
Lehigh,68.3514,97.0344,108.75,52.07845433,17.77262152,23.3935743,23.7704918,48.91304348,14.316834,27.22323049,22.11956522
Liberty,61.4619,106.095,96.4193,47.96099291,20.21645048,28.92483349,34.92907801,50.87565674,22.56943402,32.4853229,27.55399883
Lipscomb,68.7056,101.152,108.015,49.73560517,19.93583454,25.73158426,26.14571093,52.47838617,16.99842897,26.81017613,32.39193084
Little Rock,69.2629,106.44,102.505,54.3597561,15.15277131,23.92444911,31.95121951,45.55485498,19.4384036,21.31782946,28.56242119
LIU,72.8391,97.3937,106.099,50.08761682,18.85815573,26.60902978,28.73831776,51.5696347,17.63992861,27.66159696,27.11187215
Long Beach St.,70.8732,94.1814,105.259,52.82840981,22.0864578,30.14553015,45.25455688,49.00932401,19.61657434,28.71842844,34.44055944
Longwood,67.8287,91.2504,105.075,48.17036593,21.99740115,24.58857696,33.17336533,52.20507166,19.67700019,31.16883117,29.93384785
Louisiana,71.8478,101.321,106.212,48.11827957,19.28471877,22.44525547,32.5567503,51.51791135,20.33748258,25.09803922,34.9726776
